StationID,Date,Type,Value,Ignore1,Ignore2,Ignore3,Ignore4,Latitude,Longitude,Elevation,State,Station,Ignore5,Ignore6
US009052008,20151230,SNWD,120,,,C,,43.7333,-96.6333,482.0,SD,SIOUX FALLS (ENVIRON. CANADA),,,
US10adam056,20151230,SNWD,51,,,N,,40.5800,-98.3717,0.0,NE,HASTINGS 1.0 ESE,,,
US10cass001,20151230,SNWD,127,,,N,,40.9946,-95.8976,337.1,NE,PLATTSMOUTH 1.4 SW,,,
US10chas003,20151230,SNWD,8,,,N,,40.4085,-101.6227,1054.0,NE,IMPERIAL 7.6 S,,,
US10cust022,20151230,SNWD,58,,,N,,41.4090,-99.4638,761.1,NE,BERWYN 4.4 NNE,,,
US10daws002,20151230,SNWD,76,,,N,,40.7800,-99.7200,730.0,NE,LEXINGTON 1.1 E,,,
US10doug006,20151230,SNWD,178,,,N,,41.2658,-95.9927,366.1,NE,OMAHA 2.9 W,,,
US10haye003,20151230,SNWD,8,,,N,,40.5106,-101.0202,935.1,NE,HAYES CENTER 0.0 WSW,,,
US10holt024,20151230,SNWD,152,,,N,,42.7982,-98.6506,0.0,NE,SPENCER 5.9 SE,,,
US10keit008,20151230,SNWD,25,,,N,,41.1234,-101.7512,990.0,NE,OGALLALA 1.7 W,,,
US10lanc007,20151230,SNWD,64,,,N,,41.0032,-96.6763,387.1,NE,DAVEY 1.2 NNW,,,
US10lanc012,20151230,SNWD,51,,,N,,40.7544,-96.7611,380.1,NE,LINCOLN 5.8 WSW,,,
US10loup003,20151230,SNWD,64,,,N,,41.8687,-99.2908,719.0,NE,BURWELL 10.2 WNW,,,
US10madi017,20151230,SNWD,114,,,N,,42.0290,-97.4185,465.1,NE,NORFOLK 0.1 WNW,,,
US10sarp022,20151230,SNWD,127,,,N,,41.1469,-96.0668,327.1,NE,PAPILLION 1.4 WSW,,,
US10sarp031,20151230,SNWD,191,,,N,,41.1431,-96.0597,0.0,NE,PAPILLION 1.2 WSW,,,
US10sarp039,20151230,SNWD,127,,,N,,41.1674,-95.9500,0.0,NE,BELLEVUE 3.7 WNW,,,
US10shem008,20151230,SNWD,61,,,N,,41.2787,-98.9704,637.0,NE,LOUP CITY 0.3 NW,,,
US10vall009,20151230,SNWD,127,,,N,,41.4239,-99.1593,666.0,NE,ARCADIA 1.7 W,,,
US1ALLD0020,20151230,SNWD,0,,,N,,34.8598,-87.6721,183.5,AL,FLORENCE 2.2 N,,,
US1ALLD0034,20151230,SNWD,0,,,N,,34.8877,-87.7030,182.6,AL,FLORENCE 4.7 NNW,,,
US1ALMY0007,20151230,SNWD,0,,,N,,32.3772,-86.2575,94.5,AL,MONTGOMERY 2.2 NE,,,
US1ALRS0003,20151230,SNWD,0,,,N,,32.2918,-85.1893,121.0,AL,SEALE 1.4 W,,,
US1ARFK0017,20151230,SNWD,0,,,N,,35.2596,-92.4054,131.4,AR,GREENBRIER 2.4 NNW,,,
US1ARPS0058,20151230,SNWD,0,,,N,,34.8240,-92.2531,155.4,AR,NORTH LITTLE ROCK 2.5 N,,,
US1ARSL0023,20151230,SNWD,0,,,N,,34.5360,-92.7651,130.1,AR,BENTON 10.9 WSW,,,
US1AZCN0002,20151230,SNWD,51,,,N,,35.0938,-111.6954,2078.7,AZ,FLAGSTAFF 7.8 SSW,,,
US1AZCN0021,20151230,SNWD,13,,,N,,35.2560,-111.7404,2231.1,AZ,FLAGSTAFF 6.8 NW,,,
US1AZNV0007,20151230,SNWD,165,,,N,,34.1109,-109.9003,2193.0,AZ,PINETOP-LAKESIDE 4.0 ESE,,,
US1AZNV0010,20151230,SNWD,0,,,N,,34.2825,-110.1266,1906.8,AZ,SHOW LOW 6.5 WNW,,,
US1CAAM0009,20151230,SNWD,5,,,N,,38.4882,-120.6313,739.4,CA,VOLCANO 3.2 N,,,
US1CAAM0010,20151230,SNWD,0,,,N,,38.3455,-120.7719,375.5,CA,JACKSON 0.4 S,,,
US1CAED0017,20151230,SNWD,0,,,N,,38.7338,-120.7110,887.0,CA,CAMINO 2.0 WSW,,,
US1CAED0020,20151230,SNWD,254,,,N,,38.8817,-120.0339,1927.9,CA,SOUTH LAKE TAHOE 4.9 SW,,,
US1CAHM0016,20151230,SNWD,0,,,N,,40.7563,-124.1661,53.6,CA,BAYVIEW 0.8 SE,,,
US1CAHM0060,20151230,SNWD,0,,,N,,41.0593,-124.1398,54.9,CA,TRINIDAD 0.2 NE,,,
US1CAIN0002,20151230,SNWD,0,T,,N,,37.3227,-118.5404,1829.4,CA,BISHOP 8.5 WSW,,,
US1CAIN0009,20151230,SNWD,0,T,,N,,37.1688,-118.2878,1210.7,CA,BIG PINE 0.5 ENE,,,
